ABRIL 2021 (DADES REDASH
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en la radiación (A)	Isc a la temperatura (A)	Voc en la temperatura (V)	Imp temp (A)	Vmp temp (V)	P unitaria temp (W)	Potencia parque calculada con temperatura (kW)	Potencia parque calculada con temperatura kW con degradación placas	Potencia corregida comptadors (valor referencia)	Potencia instantanea inversors (W)	Potencia instantanea inversors (kW)	Diferencia inversors vs Pcalculada
2021-04-01	03:05:00+02:00	17,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:10:00+02:00	16,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:15:00+02:00	16,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:20:00+02:00	16,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:25:00+02:00	16,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:30:00+02:00	16,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:35:00+02:00	15,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:40:00+02:00	15,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:45:00+02:00	15,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:50:00+02:00	15,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	03:55:00+02:00	15,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:00:00+02:00	15,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:05:00+02:00	15,60	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:10:00+02:00	15,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:20:00+02:00	16,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:25:00+02:00	16,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:30:00+02:00	15,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:35:00+02:00	15,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:40:00+02:00	15,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:45:00+02:00	14,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:50:00+02:00	15,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	04:55:00+02:00	15,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:00:00+02:00	15,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:05:00+02:00	14,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:10:00+02:00	14,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:15:00+02:00	14,60	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:20:00+02:00	14,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:25:00+02:00	13,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:30:00+02:00	13,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:35:00+02:00	13,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:40:00+02:00	13,60	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:45:00+02:00	13,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:50:00+02:00	12,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	05:55:00+02:00	12,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:00:00+02:00	12,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:05:00+02:00	12,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:10:00+02:00	12,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:15:00+02:00	12,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:20:00+02:00	12,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:25:00+02:00	12,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:30:00+02:00	12,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:35:00+02:00	12,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:40:00+02:00	12,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:45:00+02:00	11,60	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:50:00+02:00	11,30	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	06:55:00+02:00	11,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:00:00+02:00	10,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:05:00+02:00	10,50	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:10:00+02:00	10,40	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:15:00+02:00	10,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:20:00+02:00	9,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:25:00+02:00	9,80	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:30:00+02:00	10,00	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:35:00+02:00	10,70	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:40:00+02:00	11,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:45:00+02:00	11,20	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:50:00+02:00	11,10	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	07:55:00+02:00	10,90	0,00	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00%
2021-04-01	08:00:00+02:00	10,70	1,00	0,00875	-0,10136	39,7027008	-0,09579968	31,7201472	-3,0387799513129	-26,25505878	-22,4480752569	-21,9317695259913	0,00	0,00	-100,00%
2021-04-01	08:05:00+02:00	10,40	2,00	0,0175	-0,09492	39,7426176	-0,08971296	31,7520384	-2,84856935089766	-24,61163919	-21,04295150745	-20,5589636227787	0,00	0,00	-100,00%
2021-04-01	08:10:00+02:00	10,00	4,00	0,035	-0,0805	39,79584	-0,076084	31,79456	-2,41905730304	-20,9006551	-17,8700601105	-17,4590487279585	0,00	0,00	-100,00%
2021-04-01	08:15:00+02:00	10,30	7,00	0,06125	-0,05194	39,7559232	-0,04909072	31,7626688	-1,55925228051354	-13,4719397	-11,5185084435	-11,2535827492995	0,00	0,00	-100,00%
2021-04-01	08:20:00+02:00	10,60	11,00	0,09625	-0,01463	39,7160064	-0,01382744	31,7307776	-0,438755423417344	-3,790846858	-3,24117406359	-3,16662706012743	951,00	9,51	-393,41%
2021-04-01	08:25:00+02:00	11,00	16,00	0,14	0,0322	39,662784	0,0304336	31,688256	0,9643877078016	8,332309795	7,124124874725	6,96027000260633	1.962,00	19,62	175,40%
2021-04-01	08:30:00+02:00	11,70	22,00	0,1925	0,09009	39,5696448	0,08514792	31,6138432	2,69185299168614	23,25760985	19,88525642175	19,4278955240498	2.782,00	27,82	39,90%
2021-04-01	08:35:00+02:00	11,60	26,00	0,2275	0,12432	39,5829504	0,11750016	31,6244736	3,71588070791578	32,10520932	27,4499539686	26,8186050273222	3.593,00	35,93	30,89%
2021-04-01	08:40:00+02:00	12,40	38,00	0,3325	0,23548	39,4765056	0,22256224	31,5394304	7,0194862781481	60,64836144	51,8543490312	50,6616990034824	5.864,00	58,64	13,09%
2021-04-01	08:45:00+02:00	13,70	47,00	0,41125	0,32424	39,3035328	0,30645312	31,4012352	9,62300649889382	83,14277615	71,08707360825	69,4520709152603	7.399,00	73,99	4,08%
2021-04-01	08:50:00+02:00	14,50	53,00	0,46375	0,3829	39,197088	0,3618952	31,316192	11,3331795670784	97,91867146	83,7204640983	81,7948934240391	8.462,00	84,62	1,07%
2021-04-01	08:55:00+02:00	15,00	55,00	0,48125	0,40425	39,13056	0,382074	31,26304	11,94479474496	103,2030266	88,238587743	86,209100224911	9.208,00	92,08	4,35%
2021-04-01	09:00:00+02:00	15,50	69,00	0,60375	0,5306	39,064032	0,5014928	31,209888	15,6515341208064	135,2292548	115,621012854	112,961729558358	11.444,00	114,44	-1,02%
2021-04-01	09:05:00+02:00	16,00	79,00	0,69125	0,62195	38,997504	0,5878316	31,156736	18,3149139736576	158,2408567	135,2959324785	132,184126031494	13.584,00	135,84	0,40%
2021-04-01	09:10:00+02:00	16,50	99,00	0,86625	0,8008	38,930976	0,7568704	31,103584	23,5413820635136	203,397541	173,904897555	169,905084911235	17.079,00	170,79	-1,79%
2021-04-01	09:15:00+02:00	17,30	130,00	1,1375	1,07821	38,8245312	1,01906248	31,0185408	31,6098311136292	273,1089408	233,508144384	228,137457063168	23.460,00	234,60	0,47%
2021-04-01	09:20:00+02:00	18,00	146,00	1,2775	1,2236	38,731392	1,1564768	30,944128	35,7861661282304	309,1924753	264,3595663815	258,279296354726	25.731,00	257,31	-2,67%
2021-04-01	09:25:00+02:00	18,90	154,00	1,3475	1,30053	38,6116416	1,22918664	30,8484544	37,9185080131292	327,6159092	280,111602366	273,669035511582	27.273,00	272,73	-2,64%
2021-04-01	09:30:00+02:00	19,80	184,00	1,61	1,56996	38,4918912	1,48383648	30,7527808	45,6320980124836	394,2613268	337,093434414	329,340285422478	33.369,00	333,69	-1,01%
2021-04-01	09:35:00+02:00	20,50	147,00	1,28625	1,2516	38,398752	1,1829408	30,678368	36,2906931846144	313,5515891	268,0866086805	261,920616680849	26.011,00	260,11	-2,98%
2021-04-01	09:40:00+02:00	20,80	154,00	1,3475	1,31516	38,3588352	1,24301408	30,6464768	38,0940021647933	329,1321787	281,4080127885	274,935628494365	27.514,00	275,14	-2,23%
2021-04-01	09:45:00+02:00	20,90	153,00	1,33875	1,30718	38,3455296	1,23547184	30,6358464	37,8497255217654	327,0216285	279,6034923675	273,172612043048	27.422,00	274,22	-1,93%
2021-04-01	09:50:00+02:00	21,40	189,00	1,65375	1,62603	38,2790016	1,53683064	30,5826944	47,0004218076764	406,0836444	347,201515962	339,215881094874	34.085,00	340,85	-1,83%
2021-04-01	09:55:00+02:00	22,20	176,00	1,54	1,51844	38,1725568	1,43514272	30,4976512	43,7684820967793	378,1596853	323,3265309315	315,890020720076	32.371,00	323,71	0,12%
2021-04-01	10:00:00+02:00	22,10	158,00	1,3825	1,36017	38,1858624	1,28555496	30,5082816	39,2200727319567	338,8614284	289,726521282	283,062811292514	28.530,00	285,30	-1,53%
2021-04-01	10:05:00+02:00	21,90	216,00	1,89	1,86613	38,2124736	1,76375944	30,5295424	53,8467686068803	465,2360808	397,776849084	388,627981555068	44.634,00	446,34	12,21%
2021-04-01	10:10:00+02:00	21,90	325,00	2,84375	2,81988	38,2124736	2,66518944	30,5295424	81,3670140125123	703,0110011	601,0744059405	587,249694603869	61.412,00	614,12	2,17%
2021-04-01	10:15:00+02:00	23,50	375,00	3,28125	3,2697	37,999584	3,0903336	30,359456	93,8208469545216	810,6121177	693,0733606335	677,13267333893	69.932,00	699,32	0,90%
2021-04-01	10:20:00+02:00	25,00	433,00	3,78875	3,78875	37,8	3,58091	30,2	108,143482	934,3596845	798,8775302475	780,503347051808	80.894,00	808,94	1,26%
2021-04-01	10:25:00+02:00	25,00	286,00	2,5025	2,5025	37,8	2,36522	30,2	71,429644	617,1521242	527,665066191	515,528769668607	56.489,00	564,89	7,05%
2021-04-01	10:30:00+02:00	24,60	224,00	1,96	1,95692	37,8532224	1,84956896	30,2425216	55,9356292234895	483,2838365	413,2076802075	403,703903562727	42.389,00	423,89	2,59%
2021-04-01	10:35:00+02:00	24,00	260,00	2,275	2,2673	37,933056	2,1429224	30,306304	64,9440577028096	561,1166586	479,754743103	468,720384011631	52.799,00	527,99	10,05%
2021-04-01	10:40:00+02:00	24,70	482,00	4,2175	4,21519	37,8399168	3,98395672	30,2318912	120,442546104549	1040,623598	889,73317629	869,26931323533	89.607,00	896,07	0,71%
2021-04-01	10:45:00+02:00	25,10	443,00	3,87625	3,87702	37,7866944	3,66433776	30,1893696	110,624046975876	955,7917659	817,2019598445	798,406314768077	81.770,00	817,70	0,06%
2021-04-01	10:50:00+02:00	25,70	505,00	4,41875	4,42414	37,7068608	4,18144432	30,1255872	125,968465484105	1088,367542	930,55424841	909,15150069657	94.045,00	940,45	1,06%
2021-04-01	10:55:00+02:00	27,40	542,00	4,7425	4,76098	37,4806656	4,49980624	29,9448704	134,746114681911	1164,206431	995,396498505	972,502379039385	99.837,00	998,37	0,30%
2021-04-01	11:00:00+02:00	27,80	549,00	4,80375	4,82531	37,4274432	4,56060728	29,9023488	136,372869626379	1178,261594	1007,41366287	984,24314862399	101.830,00	1.018,30	1,08%
2021-04-01	11:05:00+02:00	28,20	565,00	4,94375	4,96839	37,3742208	4,69583832	29,8598272	140,216920794338	1211,474196	1035,81043758	1011,98679751566	104.270,00	1.042,70	0,67%
2021-04-01	11:10:00+02:00	29,40	607,00	5,31125	5,34513	37,2145536	5,05191144	29,7322624	150,204756555642	1297,769097	1109,592577935	1084,0719486425	113.145,00	1.131,45	1,97%
2021-04-01	11:15:00+02:00	31,70	627,00	5,48625	5,53784	36,9085248	5,23404992	29,4877632	154,340424617939	1333,501269	1140,143584995	1113,92028254012	114.517,00	1.145,17	0,44%
2021-04-01	11:20:00+02:00	31,60	677,00	5,92375	5,97457	36,9218304	5,64682216	29,4983936	166,572182664882	1439,183658	1230,50202759	1202,20048095543	122.666,00	1.226,66	-0,31%
2021-04-01	11:25:00+02:00	30,70	698,00	6,1075	6,15139	37,0415808	5,81394232	29,5940672	172,058199715004	1486,582846	1271,02833333	1241,79468166341	129.232,00	1.292,32	1,68%
2021-04-01	11:30:00+02:00	32,90	664,00	5,81	5,87083	36,7488576	5,54877304	29,3601984	162,913077330971	1407,568988	1203,47148474	1175,79164059098	125.732,00	1.257,32	4,47%
2021-04-01	11:35:00+02:00	31,60	804,00	7,035	7,08582	36,9218304	6,69711216	29,4983936	197,554050479026	1706,866996	1459,37128158	1425,80574210366	144.995,00	1.449,95	-0,65%
2021-04-01	11:40:00+02:00	29,50	727,00	6,36125	6,3959	37,201248	6,0450392	29,721632	179,668430527974	1552,33524	1327,2466302	1296,7199577054	85.752,00	857,52	-35,39%
2021-04-01	11:45:00+02:00	31,80	222,00	1,9425	1,99486	36,8952192	1,88542768	29,4771328	55,5770021081559	480,1852982	410,558429961	401,115586071897	44.386,00	443,86	8,11%
2021-04-01	11:50:00+02:00	33,00	822,00	7,1925	7,2541	36,735552	6,8561608	29,349568	201,225357618534	1738,58709	1486,49196195	1452,30264682515	147.030,00	1.470,30	-1,09%
2021-04-01	11:55:00+02:00	34,90	672,00	5,88	5,95623	36,4827456	5,62948824	29,1475904	164,086017381137	1417,70319	1212,13622745	1184,25709421865	125.755,00	1.257,55	3,75%
2021-04-01	12:00:00+02:00	34,30	789,00	6,90375	6,97536	36,5625792	6,59271168	29,2113728	192,582158647394	1663,909851	1422,642922605	1389,92213538508	109.734,00	1.097,34	-22,87%
2021-04-01	12:05:00+02:00	36,50	888,00	7,77	7,85855	36,269856	7,4274524	28,977504	215,22903163081	1859,578833	1589,939902215	1553,37128446406	154.973,00	1.549,73	-2,53%
2021-04-01	12:10:00+02:00	36,20	1.064,00	9,31	9,39624	36,3097728	8,88078912	29,0093952	257,62632126994	2225,891416	1903,13716068	1859,36500598436	169.635,00	1.696,35	-10,87%
2021-04-01	12:15:00+02:00	31,60	222,00	1,9425	1,99332	36,9218304	1,88397216	29,4983936	55,5741523071222	480,1606759	410,5373778945	401,095018202927	37.886,00	378,86	-7,72%
2021-04-01	12:20:00+02:00	26,60	186,00	1,6275	1,63982	37,5871104	1,54986416	30,0299136	46,5422868165366	402,1253581	343,8171811755	335,909386008464	32.464,00	324,64	-5,58%
2021-04-01	12:25:00+02:00	27,80	267,00	2,33625	2,35781	37,4274432	2,22846728	29,9023488	66,6364058959473	575,7385469	492,2564575995	480,934559074712	47.719,00	477,19	-3,06%
2021-04-01	12:30:00+02:00	27,50	430,00	3,7625	3,78175	37,46736	3,574294	29,93424	106,99377442656	924,426211	790,384410405	772,205568965685	73.581,00	735,81	-6,90%
2021-04-01	12:35:00+02:00	27,00	211,00	1,84625	1,86165	37,533888	1,7595252	29,987392	52,7635719062784	455,8772613	389,7750584115	380,810232068036	37.281,00	372,81	-4,35%
2021-04-01	12:40:00+02:00	28,90	1.005,00	8,79375	8,82378	37,2810816	8,33973264	29,7854144	248,402392667606	2146,196673	1834,998155415	1792,79319784046	155.238,00	1.552,38	-15,40%
2021-04-01	12:45:00+02:00	31,80	980,00	8,575	8,62736	36,8952192	8,15408768	29,4771328	240,359125406204	2076,702844	1775,58093162	1734,74257019274	174.064,00	1.740,64	-1,97%
2021-04-01	12:50:00+02:00	37,10	1.034,00	9,0475	9,14067	36,1900224	8,63923896	28,9137216	249,792550125314	2158,207633	1845,267526215	1802,82637311206	178.349,00	1.783,49	-3,35%
2021-04-01	12:55:00+02:00	41,30	506,00	4,4275	4,55301	35,6311872	4,30324488	28,4672448	122,501525433307	1058,41318	904,9432689	884,1295737153	78.397,00	783,97	-13,37%
2021-04-01	13:00:00+02:00	40,30	467,00	4,08625	4,20406	35,7642432	3,97343728	28,5735488	113,535204023819	980,9441628	838,707259194	819,416992232538	82.093,00	820,93	-2,12%
2021-04-01	13:05:00+02:00	36,40	479,00	4,19125	4,27903	36,2831616	4,04429464	28,9881344	117,23655657752	1012,923849	866,049890895	846,130743404415	85.387,00	853,87	-1,41%
2021-04-01	13:10:00+02:00	36,00	1.414,00	12,3725	12,4572	36,336384	11,7738336	29,030656	341,802113042842	2953,170257	2524,960569735	2466,8864766311	139.666,00	1.396,66	-44,69%
2021-04-01	13:15:00+02:00	35,30	751,00	6,57125	6,65056	36,4295232	6,28572928	29,1050688	182,946583152575	1580,658478	1351,46299869	1320,37934972013	164.236,00	1.642,36	21,52%
2021-04-01	13:20:00+02:00	36,90	937,00	8,19875	8,29038	36,2166336	7,83559344	28,9349824	226,722758279955	1958,884632	1674,84636036	1636,32489407172	189.219,00	1.892,19	12,98%
2021-04-01	13:25:00+02:00	36,50	645,00	5,64375	5,7323	36,269856	5,4178424	28,977504	156,99554981737	1356,44155	1159,75752525	1133,08310216925	152.310,00	1.523,10	31,33%
2021-04-01	13:30:00+02:00	34,70	544,00	4,76	4,83469	36,5093568	4,56947272	29,1688512	133,286269832139	1151,593371	984,612332205	961,966248564285	98.812,00	988,12	0,36%
2021-04-01	13:35:00+02:00	34,70	580,00	5,075	5,14969	36,5093568	4,86719272	29,1688512	141,970420211403	1226,624431	1048,763888505	1024,64231906939	122.728,00	1.227,28	17,02%
2021-04-01	13:40:00+02:00	34,00	447,00	3,91125	3,98055	36,602496	3,7621884	29,243264	110,018668598938	950,5612967	812,7299086785	794,037120778895	79.351,00	793,51	-2,36%
2021-04-01	13:45:00+02:00	31,90	1.293,00	11,31375	11,36688	36,8819136	10,74332544	29,4665024	316,568224861741	2735,149463	2338,552790865	2284,76607667511	175.410,00	1.754,10	-24,99%
2021-04-01	13:50:00+02:00	37,80	1.184,00	10,36	10,45856	36,0968832	9,88483328	28,8393088	285,071759398437	2463,020001	2105,882100855	2057,44681253534	177.782,00	1.777,82	-15,58%
2021-04-01	13:55:00+02:00	42,00	978,00	8,5575	8,6884	35,538048	8,2117792	28,392832	233,155667246694	2014,464965	1722,367545075	1682,75309153828	90.379,00	903,79	-47,53%
2021-04-01	14:00:00+02:00	41,50	1.166,00	10,2025	10,32955	35,604576	9,7629004	28,445984	277,715308571994	2399,460266	2051,53852743	2004,35314129911	189.735,00	1.897,35	-7,52%
2021-04-01	14:05:00+02:00	37,40	446,00	3,9025	3,99798	36,1501056	3,77866224	28,8818304	109,134681954564	942,9236521	806,1997225455	787,657128926954	78.357,00	783,57	-2,81%
2021-04-01	14:10:00+02:00	37,40	642,00	5,6175	5,71298	36,1501056	5,39958224	28,8818304	155,949818486532	1347,406432	1152,03249936	1125,53575187472	97.758,00	977,58	-15,14%
2021-04-01	14:15:00+02:00	37,40	331,00	2,89625	2,99173	36,1501056	2,82761224	28,8818304	81,6666171526441	705,5995722	603,287634231	589,412018643687	56.356,00	563,56	-6,59%
2021-04-01	14:20:00+02:00	37,40	1.203,00	10,52625	10,62173	36,1501056	10,03905224	28,8818304	289,94620417242	2505,135204	2141,89059942	2092,62711563334	183.529,00	1.835,29	-14,31%
2021-04-01	14:25:00+02:00	40,90	486,00	4,2525	4,37493	35,6844096	4,13493384	28,5097664	117,885997857855	1018,535021	870,847442955	850,817951767035	73.996,00	739,96	-15,03%
2021-04-01	14:30:00+02:00	37,60	1.150,00	10,0625	10,15952	36,1234944	9,60219776	28,8605696	277,124896765444	2394,359108	2047,17703734	2000,09196548118	189.708,00	1.897,08	-7,33%
2021-04-01	14:35:00+02:00	39,60	1.143,00	10,00125	10,11367	35,8573824	9,55886296	28,6479616	273,841939017742	2365,994353	2022,925171815	1976,39789286326	189.623,00	1.896,23	-6,26%
2021-04-01	14:40:00+02:00	41,50	1.069,00	9,35375	9,4808	35,604576	8,9607104	28,445984	254,896224667034	2202,303381	1882,969390755	1839,66109476764	180.750,00	1.807,50	-4,01%
2021-04-01	14:45:00+02:00	42,00	1.053,00	9,21375	9,34465	35,538048	8,8320292	28,392832	250,766321294694	2166,621016	1852,46096868	1809,85436640036	178.118,00	1.781,18	-3,85%
2021-04-01	14:50:00+02:00	43,10	1.070,00	9,3625	9,50187	35,3916864	8,98062456	28,2758976	253,935220442605	2194,000305	1875,870260775	1832,72524477717	181.357,00	1.813,57	-3,32%
2021-04-01	14:55:00+02:00	38,60	905,00	7,91875	8,02347	35,9904384	7,58332536	28,7542656	218,052951532656	1883,977501	1610,800763355	1573,75234579784	148.772,00	1.487,72	-7,64%
2021-04-01	15:00:00+02:00	37,90	419,00	3,66625	3,76558	36,0835776	3,55901104	28,8286784	102,60158469421	886,4776918	757,938426489	740,505842679753	84.722,00	847,22	11,78%
